user_id,event_type,event_date
46,trial,2025-01-11
94,trial,2025-03-17
53,paid,2025-01-01
8,visit,2025-01-24
53,signup,2025-03-12
66,paid,2025-03-28
29,signup,2025-01-17
65,signup,2025-02-18
79,trial,2025-01-15
48,trial,2025-01-27
91,visit,2025-01-24
13,trial,2025-02-06
83,trial,2025-01-25
71,paid,2025-04-08
33,signup,2025-01-31
35,visit,2025-03-05
53,visit,2025-02-28
99,trial,2025-01-31
95,visit,2025-01-18
94,signup,2025-03-24
74,trial,2025-02-22
18,trial,2025-02-19
75,paid,2025-03-16
36,signup,2025-01-05
52,visit,2025-03-20
28,trial,2025-02-21
100,trial,2025-03-19
27,signup,2025-01-09
73,visit,2025-02-13
17,trial,2025-04-03
84,visit,2025-01-24
13,visit,2025-02-04
17,paid,2025-01-21
71,visit,2025-03-03
45,paid,2025-02-16
95,paid,2025-03-26
3,trial,2025-03-26
8,trial,2025-01-16
9,visit,2025-03-24
85,signup,2025-02-01
42,trial,2025-02-10
19,signup,2025-03-26
12,visit,2025-03-10
3,trial,2025-04-01
58,signup,2025-02-09
77,paid,2025-03-17
37,visit,2025-01-16
55,trial,2025-03-26
29,trial,2025-02-18
45,signup,2025-04-08
59,paid,2025-02-17
14,signup,2025-02-11
50,trial,2025-01-08
40,visit,2025-01-30
12,paid,2025-02-03
32,signup,2025-02-09
95,trial,2025-02-16
1,signup,2025-02-10
6,visit,2025-01-29
10,trial,2025-01-12
14,paid,2025-02-20
36,trial,2025-01-11
27,trial,2025-03-08
89,signup,2025-03-20
72,trial,2025-02-03
91,signup,2025-03-21
88,visit,2025-01-31
39,paid,2025-01-13
33,signup,2025-02-06
2,paid,2025-02-02
74,trial,2025-01-24
51,trial,2025-04-02
30,signup,2025-03-09
26,visit,2025-02-14
54,trial,2025-01-28
38,trial,2025-01-03
56,visit,2025-01-21
41,visit,2025-03-10
40,paid,2025-04-03
86,trial,2025-02-07
44,paid,2025-01-05
7,trial,2025-01-12
59,paid,2025-03-05
63,visit,2025-01-14
23,signup,2025-02-11
32,trial,2025-03-12
75,signup,2025-02-21
57,visit,2025-02-17
22,signup,2025-01-06
95,visit,2025-02-22
23,trial,2025-01-19
6,trial,2025-02-07
90,visit,2025-03-25
12,visit,2025-02-21
79,paid,2025-03-23
61,trial,2025-03-02
66,paid,2025-02-02
31,signup,2025-01-24
36,signup,2025-03-22
74,signup,2025-02-22
45,visit,2025-03-11
84,signup,2025-02-10
98,paid,2025-01-11
60,visit,2025-03-19
47,paid,2025-02-07
31,signup,2025-03-14
4,visit,2025-04-09
31,signup,2025-02-06
97,signup,2025-02-17
41,paid,2025-02-09
80,signup,2025-03-20
23,visit,2025-03-30
4,trial,2025-04-01
85,paid,2025-02-13
19,signup,2025-03-07
25,signup,2025-02-26
11,visit,2025-01-23
22,trial,2025-02-09
38,paid,2025-02-22
5,paid,2025-03-07
26,paid,2025-02-19
37,signup,2025-01-23
34,trial,2025-01-10
9,trial,2025-01-20
8,visit,2025-01-07
47,visit,2025-02-16
12,visit,2025-02-25
18,trial,2025-01-16
76,paid,2025-01-15
38,visit,2025-03-19
64,paid,2025-01-22
3,paid,2025-01-23
43,signup,2025-02-17
11,trial,2025-02-28
48,paid,2025-01-23
34,signup,2025-01-26
36,visit,2025-02-14
93,signup,2025-02-18
8,signup,2025-01-04
26,signup,2025-03-10
95,visit,2025-04-02
8,signup,2025-01-14
17,signup,2025-02-25
73,trial,2025-04-09
25,signup,2025-04-01
6,visit,2025-02-27
50,paid,2025-01-25
48,paid,2025-03-26
51,visit,2025-03-23
78,trial,2025-04-07
2,visit,2025-03-07
87,visit,2025-02-17
36,paid,2025-02-22
31,visit,2025-02-28
13,paid,2025-03-30
10,paid,2025-01-02
11,trial,2025-03-31
7,visit,2025-02-09
59,trial,2025-01-04
77,trial,2025-02-13
94,signup,2025-03-05
65,visit,2025-02-21
96,trial,2025-02-06
48,trial,2025-01-16
86,signup,2025-03-28
17,trial,2025-04-03
43,trial,2025-01-10
51,visit,2025-01-01
31,signup,2025-03-21
26,paid,2025-02-18
98,visit,2025-02-28
89,visit,2025-03-29
81,visit,2025-03-29
59,paid,2025-01-13
22,visit,2025-02-22
9,trial,2025-02-03
83,trial,2025-01-05
17,signup,2025-02-22
70,trial,2025-04-06
69,visit,2025-03-24
86,trial,2025-04-04
57,paid,2025-03-22
28,paid,2025-02-14
89,paid,2025-01-30
99,paid,2025-03-21
81,visit,2025-03-15
5,paid,2025-02-12
11,trial,2025-01-20
76,trial,2025-02-25
46,paid,2025-02-07
88,paid,2025-03-07
3,signup,2025-01-01
62,paid,2025-02-28
12,signup,2025-02-10
15,signup,2025-04-07
13,paid,2025-02-07
8,paid,2025-01-01
9,trial,2025-03-07
24,visit,2025-01-05
92,visit,2025-03-21
54,signup,2025-01-29
70,visit,2025-01-27
86,paid,2025-02-03
96,paid,2025-01-29
26,paid,2025-01-01
1,signup,2025-04-09
42,trial,2025-01-27
38,visit,2025-02-17
8,trial,2025-01-14
43,paid,2025-02-07
11,trial,2025-01-20
29,trial,2025-02-05
16,visit,2025-01-11
96,paid,2025-03-23
83,visit,2025-01-21
47,signup,2025-02-08
27,signup,2025-01-30
54,visit,2025-03-25
98,signup,2025-01-04
17,trial,2025-03-30
44,visit,2025-01-17
16,visit,2025-01-14
45,trial,2025-02-16
6,paid,2025-03-17
39,paid,2025-03-19
1,trial,2025-01-01
1,signup,2025-02-12
21,trial,2025-04-01
30,paid,2025-02-26
80,trial,2025-02-10
6,visit,2025-02-01
42,paid,2025-01-20
72,paid,2025-02-28
35,trial,2025-01-07
6,visit,2025-03-04
95,paid,2025-01-27
11,signup,2025-02-15
86,paid,2025-03-09
96,trial,2025-03-23
28,paid,2025-04-07
58,signup,2025-01-08
66,signup,2025-02-07
2,signup,2025-04-08
82,visit,2025-03-27
75,trial,2025-02-01
95,paid,2025-03-28
55,signup,2025-01-24
40,trial,2025-03-26
43,paid,2025-03-19
75,visit,2025-04-10
94,trial,2025-02-26
80,paid,2025-04-08
29,paid,2025-04-01
91,trial,2025-01-19
30,paid,2025-01-31
53,signup,2025-03-19
34,trial,2025-02-05
61,visit,2025-02-02
37,signup,2025-03-21
29,paid,2025-02-19
79,signup,2025-03-12
55,trial,2025-02-18
60,trial,2025-01-28
21,paid,2025-02-04
27,paid,2025-03-23
46,visit,2025-04-02
63,paid,2025-03-06
19,visit,2025-03-19
35,trial,2025-04-06
81,trial,2025-02-01
46,trial,2025-04-10
75,paid,2025-03-08
26,signup,2025-01-05
11,visit,2025-01-17
49,signup,2025-01-30
37,paid,2025-02-03
5,trial,2025-03-04
46,signup,2025-02-13
80,trial,2025-01-23
94,paid,2025-01-13
83,trial,2025-02-27
56,trial,2025-03-26
6,visit,2025-01-28
54,signup,2025-03-25
69,visit,2025-03-27
54,paid,2025-03-04
21,trial,2025-01-16
21,paid,2025-03-10
8,visit,2025-04-07
60,paid,2025-01-08
8,signup,2025-02-09
92,paid,2025-03-21
18,signup,2025-02-16
40,paid,2025-02-13
90,visit,2025-04-10
46,trial,2025-03-03
25,signup,2025-03-12
14,paid,2025-04-07
73,paid,2025-02-16
72,visit,2025-01-11
